order_id,city,locality,raw_address,lat,lng,status
ORD000001,Indore,AB Road,"Building 69, AB Road, behind big tree, AB Road, Indore",22.720290931930695,75.87512126762303,completed
ORD000002,Indore,AB Road,"156/1, Golden Society, dukaan ke piche, AB Road, Indore",22.72163838747813,75.87972120563674,completed
ORD000003,Indore,AB Road,"Flat 101, Mountain Apartments, AB Road, Indore",22.71521995861997,75.87208712828688,delivered
ORD000004,Indore,Bengali Square,"House 44, Bengali Square Area, samne school, Bengali Square, Indore",22.72825141096473,75.87976661121722,completed
ORD000005,Indore,Rajendra Nagar,"Flat 5, Moonlight Apartments, peeche dukaan, Rajendra Nagar, Indore",22.731205480065384,75.88460232670108,successful
ORD000006,Indore,Rajendra Nagar,"121/15, Red Society, gali mein, Rajendra Nagar, Indore",22.736567943634952,75.88122308936961,completed
ORD000007,Indore,Rajendra Nagar,"Building 6, Rajendra Nagar, samne school, Rajendra Nagar, Indore",22.737640286716147,75.88181675322144,delivered
ORD000008,Indore,AB Road,"135/10, Red Society, ke peeche bada ped, AB Road, Indore",22.719699126745134,75.8704691319843,successful
ORD000009,Indore,Palasia,"74 Fourth Road, Palasia, Indore",22.719829427266543,75.86876342994233,successful
ORD000010,Indore,MG Road,"6/4, Golden Society, near market, MG Road, Indore",22.72899156227347,75.87283709226685,completed
ORD000011,Indore,Sudama Nagar,"193/1, White Society, opposite mall, Sudama Nagar, Indore",22.71065501515743,75.86281486429625,completed
ORD000012,Indore,Annapurna,"Shop 24, Local Market, tapri ke paas, Annapurna, Indore",22.72908046386449,75.86545586502143,delivered
ORD000013,Indore,AB Road,"Building 40, AB Road, opposite police station, AB Road, Indore",22.72281149528486,75.87403700389703,successful
ORD000014,Indore,AB Road,"Building 90, AB Road, peeche dukaan, AB Road, Indore",22.718118616279707,75.8738908423036,completed
ORD000015,Indore,Rajendra Nagar,"Room 163, Garden Complex, samne school, Rajendra Nagar, Indore",22.73745083094637,75.88601340658167,delivered
ORD000016,Indore,Palasia,"80/4, Green Society, near chai tapri, Palasia, Indore",22.728326124428712,75.87125500189289,delivered
ORD000017,Indore,MG Road,"Flat 88, River Apartments, paas mandir, MG Road, Indore",22.727128522384053,75.86807765879877,delivered
ORD000018,Indore,Chhatripura,"Room 199, Star Complex, opposite bank, Chhatripura, Indore",22.712408222363102,75.86626442175195,delivered
ORD000019,Indore,MG Road,"Flat 129, Ocean Apartments, ke paas chai tapri, MG Road, Indore",22.72321330249389,75.87110077032509,successful
ORD000020,Indore,Sudama Nagar,"Flat 197, Garden Apartments, Sudama Nagar, Indore",22.719067560393714,75.86570560609827,delivered
ORD000021,Indore,Vijay Nagar,"Shop 118, Big Market, Vijay Nagar, Indore",22.721756911401418,75.8768897106101,successful
ORD000022,Indore,Palasia,"Flat 99, Mountain Apartments, dukaan ke piche, Palasia, Indore",22.72713600530938,75.8757512588426,successful
ORD000023,Indore,MG Road,"144 Second Road, gali mein, MG Road, Indore",22.726084352855853,75.86955210379325,delivered
ORD000024,Indore,Chhatripura,"Shop 117, New Market, Chhatripura, Indore",22.710191667953133,75.87082954888992,delivered
ORD000025,Indore,Chhatripura,"Shop 120, Main Market, near chai tapri, Chhatripura, Indore",22.71391102222117,75.8704891461058,successful
ORD000026,Indore,AB Road,"178 Second Road, ke samne police station, AB Road, Indore",22.71667895747763,75.87578076555353,delivered
ORD000027,Indore,New Palasia,"185 Fifth Road, behind hospital, New Palasia, Indore",22.723390074628174,75.87009334467966,completed
ORD000028,Indore,Palasia,"House 99, Palasia Area, behind dukaan, Palasia, Indore",22.726945856348372,75.87439900677985,delivered
ORD000029,Indore,Palasia,"Room 31, Moonlight Complex, peeche dukaan, Palasia, Indore",22.728292429369734,75.86826510025385,successful
ORD000030,Indore,AB Road,"Room 90, Ocean Complex, opposite police station, AB Road, Indore",22.715317072347005,75.8784461617218,delivered
ORD000031,Indore,Chhatripura,"Room 76, River Complex, opposite mall, Chhatripura, Indore",22.716283025342364,75.86741725195172,completed
ORD000032,Indore,Rajendra Nagar,"112/19, Red Society, Rajendra Nagar, Indore",22.73818817425253,75.88344795715014,successful
ORD000033,Indore,Vijay Nagar,"53/17, Green Society, Vijay Nagar, Indore",22.723510975350223,75.88380469070394,successful
ORD000034,Indore,AB Road,"House 38, AB Road Area, AB Road, Indore",22.718703053668804,75.87181322420219,successful
ORD000035,Indore,Palasia,"House 58, Palasia Area, Palasia, Indore",22.721028852474678,75.87300801144994,delivered
ORD000036,Indore,Chhatripura,"Building 89, Chhatripura, tapri ke paas, Chhatripura, Indore",22.716751924351314,75.8692143096743,delivered
ORD000037,Indore,Rajendra Nagar,"House 123, Rajendra Nagar Area, Rajendra Nagar, Indore",22.73895334635308,75.88099221669636,successful
ORD000038,Indore,Palasia,"House 86, Palasia Area, Palasia, Indore",22.729489715186485,75.86882382330157,delivered
ORD000039,Indore,Palasia,"Shop 121, Big Market, Palasia, Indore",22.721696317418818,75.87083537423383,completed
ORD000040,Indore,MG Road,"Building 69, MG Road, MG Road, Indore",22.725719320906524,75.86945664381442,successful
ORD000041,Indore,Chhatripura,"Building 78, Chhatripura, ke samne police station, Chhatripura, Indore",22.711184059882218,75.87023764405593,successful
ORD000042,Indore,AB Road,"21/12, Green Society, ke samne police station, AB Road, Indore",22.713994776227796,75.87614806519726,delivered
ORD000043,Indore,New Palasia,"Room 168, Moonlight Complex, dukaan ke piche, New Palasia, Indore",22.727033862663777,75.87231096546161,successful
ORD000044,Indore,Palasia,"Shop 119, Main Market, ke peeche bada ped, Palasia, Indore",22.723930022733015,75.87497708250223,delivered
ORD000045,Indore,New Palasia,"22/1, Silver Society, ke samne police station, New Palasia, Indore",22.721471894315776,75.869737623848,completed
